Title,Description,Images,Price,Rating,Sizes,Brand,Gender,in_stock_statuses,Category
Buy Green Trousers & Pants for Women by KOTTY Online | Ajio.com,"We recommend you buy a size larger
Straight Fit
Package contains: 1 pants
Machine wash
Polyester blend
High Rise
Product Code: 464501984004
Other information","https://assets.ajio.com/medias/sys_master/root/20230623/8Erx/6494dd16d55b7d0c63a8be43/-78Wx98H-464501984-green-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/dFk9/6494dd16d55b7d0c63a8be45/-78Wx98H-464501984-green-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/elWL/6494dd16d55b7d0c63a8be44/-78Wx98H-464501984-green-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/qdrS/6494dd1dd55b7d0c63a8bf48/-78Wx98H-464501984-green-MODEL6.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/N4la/6494dd1dd55b7d0c63a8bf49/-78Wx98H-464501984-green-MODEL7.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/xQ0L/6494dd16d55b7d0c63a8bee1/-78Wx98H-464501984-green-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/IgJY/6494dd16d55b7d0c63a8be42/-78Wx98H-464501984-green-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/8Erx/6494dd16d55b7d0c63a8be43/-78Wx98H-464501984-green-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/dFk9/6494dd16d55b7d0c63a8be45/-78Wx98H-464501984-green-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/elWL/6494dd16d55b7d0c63a8be44/-78Wx98H-464501984-green-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/qdrS/6494dd1dd55b7d0c63a8bf48/-78Wx98H-464501984-green-MODEL6.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/N4la/6494dd1dd55b7d0c63a8bf49/-78Wx98H-464501984-green-MODEL7.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/xQ0L/6494dd16d55b7d0c63a8bee1/-78Wx98H-464501984-green-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/IgJY/6494dd16d55b7d0c63a8be42/-78Wx98H-464501984-green-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/8Erx/6494dd16d55b7d0c63a8be43/-78Wx98H-464501984-green-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/dFk9/6494dd16d55b7d0c63a8be45/-78Wx98H-464501984-green-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/elWL/6494dd16d55b7d0c63a8be44/-78Wx98H-464501984-green-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/xQ0L/6494dd16d55b7d0c63a8bed1/-473Wx593H-464501984-green-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20230623/IgJY/6494dd16d55b7d0c63a8be56/-473Wx593H-464501984-green-MODEL2.jpg",₹360,3.6  ,"['26', '28', '30', '32', '34']",KOTTY,Men,"['In Stock', 'In Stock', 'In Stock', 'In Stock', 'In Stock']",Trousers & Pants > Western Wear
Buy Orange Sarees for Women by SHAILY Online | Ajio.com,"Blouse piece length: 0.8 m
Saree length: 5.5 m
Package contains: 1 saree, 1 blouse piece
The last image gives a detailed look of the blouse piece that comes with this saree (The model is wearing a blouse from our in-house wardrobe)
Dry clean
Cotton
Product Code: 465069433001
Other information","https://assets.ajio.com/medias/sys_master/root/20240416/ylfZ/661eb74516fd2c6e6ab80ad7/-78Wx98H-465069433-orange-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20240416/9QH7/661eb74516fd2c6e6ab80a44/-78Wx98H-465069433-orange-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20240416/e2jX/661eb74516fd2c6e6ab80a43/-78Wx98H-465069433-orange-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20240416/I8UD/661eb74516fd2c6e6ab80a45/-78Wx98H-465069433-orange-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20240416/1Zhm/661eb74516fd2c6e6ab80a47/-78Wx98H-465069433-orange-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20240416/ylfZ/661eb74516fd2c6e6ab80ad7/-78Wx98H-465069433-orange-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20240416/9QH7/661eb74516fd2c6e6ab80a44/-78Wx98H-465069433-orange-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20240416/e2jX/661eb74516fd2c6e6ab80a43/-78Wx98H-465069433-orange-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20240416/I8UD/661eb74516fd2c6e6ab80a45/-78Wx98H-465069433-orange-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20240416/1Zhm/661eb74516fd2c6e6ab80a47/-78Wx98H-465069433-orange-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20240416/ylfZ/661eb74516fd2c6e6ab80ad7/-78Wx98H-465069433-orange-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20240416/9QH7/661eb74516fd2c6e6ab80a44/-78Wx98H-465069433-orange-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20240416/e2jX/661eb74516fd2c6e6ab80a43/-78Wx98H-465069433-orange-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20240416/I8UD/661eb74516fd2c6e6ab80a45/-78Wx98H-465069433-orange-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20240416/1Zhm/661eb74516fd2c6e6ab80a47/-78Wx98H-465069433-orange-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20240416/ylfZ/661eb74516fd2c6e6ab80acb/-473Wx593H-465069433-orange-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20240416/9QH7/661eb74516fd2c6e6ab80a62/-473Wx593H-465069433-orange-MODEL2.jpg",MRP₹998,3  ,['FS'],SHAILY,Men,['Out of Stock'],Sarees > Ethnic Wear
Buy White Sweatshirt & Hoodies for Women by Teamspirit Online | Ajio.com,"Package contains: 1 pullover
Machine wash
60% polyester, 40% cotton
Product Code: 441140715001
About Teamspirit
Other information","https://assets.ajio.com/medias/sys_master/root/20220518/YCKA/6284d250f997dd03e2e70031/-78Wx98H-441140715-white-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20220521/8xBn/628858a6aeb26921afb634b4/-78Wx98H-441140715-white-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20220518/Ms6U/6284c161f997dd03e2e69a69/-78Wx98H-441140715-white-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20220519/Atwj/6285c57af997dd03e2ee52f9/-78Wx98H-441140715-white-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20220518/tBqf/62853accf997dd03e2e9d782/-78Wx98H-441140715-white-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20220518/YCKA/6284d250f997dd03e2e70031/-78Wx98H-441140715-white-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20220521/8xBn/628858a6aeb26921afb634b4/-78Wx98H-441140715-white-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20220518/Ms6U/6284c161f997dd03e2e69a69/-78Wx98H-441140715-white-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20220519/Atwj/6285c57af997dd03e2ee52f9/-78Wx98H-441140715-white-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20220518/tBqf/62853accf997dd03e2e9d782/-78Wx98H-441140715-white-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20220518/YCKA/6284d250f997dd03e2e70031/-78Wx98H-441140715-white-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20220521/8xBn/628858a6aeb26921afb634b4/-78Wx98H-441140715-white-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20220518/Ms6U/6284c161f997dd03e2e69a69/-78Wx98H-441140715-white-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20220519/Atwj/6285c57af997dd03e2ee52f9/-78Wx98H-441140715-white-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20220518/tBqf/62853accf997dd03e2e9d782/-78Wx98H-441140715-white-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20220518/YCKA/6284d250f997dd03e2e70021/-473Wx593H-441140715-white-MODEL.jpg",MRP₹599,3.6  ,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",TEAMSPIRIT,Men,"['Out of Stock', 'Out of Stock', 'Out of Stock', 'Out of Stock', 'Out of Stock', 'Out of Stock']",Sweatshirt & Hoodies > Western Wear
Best Offers on 465156487008 upto 20-71% off - Limited period sale | AJIO,Description section not found.,,Price details element not found.,Rating not found.,[],Brand name not found.,Not specified,[],Home > Child category not found
Buy Orange Dresses & Gowns for Women by Amira's Indian Ethnic Wear Online | Ajio.com,"Outer Part Printed with Metal Buttons with Tessel on Outer Layer & Inner Part Cotton Jekard
This Orange Printed Flared ethnic dress from AMIRA'S INDIA ETHNIC WEAR exhibits Outer Part Printed with Metal Buttons with Tessel on Outer Layer & Inner Part Cotton Jekard along with Round Neck & 3/4 sleeves. Tailored from Rayon. Product Length: 54 Inches.
Package contains: 1 dress
Hand wash
Rayon
Product Code: 464498909005
Other information","https://assets.ajio.com/medias/sys_master/root/20240622/JEbZ/6676400e6f60443f317db5cf/-78Wx98H-464498909-orange-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20240622/DHsL/6676400e6f60443f317db5d0/-78Wx98H-464498909-orange-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20240622/QIqP/6676400e6f60443f317db5d2/-78Wx98H-464498909-orange-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20240622/xUM5/6676400e6f60443f317db5d3/-78Wx98H-464498909-orange-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20240622/33gq/6676400e6f60443f317db5d5/-78Wx98H-464498909-orange-MODEL6.jpg, https://assets.ajio.com/medias/sys_master/root/20240622/25pG/6676400e6f60443f317db677/-78Wx98H-464498909-orange-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20240622/JEbZ/6676400e6f60443f317db5cf/-78Wx98H-464498909-orange-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20240622/DHsL/6676400e6f60443f317db5d0/-78Wx98H-464498909-orange-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20240622/QIqP/6676400e6f60443f317db5d2/-78Wx98H-464498909-orange-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20240622/xUM5/6676400e6f60443f317db5d3/-78Wx98H-464498909-orange-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20240622/33gq/6676400e6f60443f317db5d5/-78Wx98H-464498909-orange-MODEL6.jpg, https://assets.ajio.com/medias/sys_master/root/20240622/25pG/6676400e6f60443f317db677/-78Wx98H-464498909-orange-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20240622/JEbZ/6676400e6f60443f317db5cf/-78Wx98H-464498909-orange-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20240622/DHsL/6676400e6f60443f317db5d0/-78Wx98H-464498909-orange-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20240622/QIqP/6676400e6f60443f317db5d2/-78Wx98H-464498909-orange-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20240622/xUM5/6676400e6f60443f317db5d3/-78Wx98H-464498909-orange-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20240622/25pG/6676400e6f60443f317db666/-473Wx593H-464498909-orange-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20240622/JEbZ/6676400e6f60443f317db5db/-473Wx593H-464498909-orange-MODEL2.jpg","₹1,674",3.7  ,"['S', 'M', 'L', 'XL', 'XXL', '3XL']",AMIRA'S INDIAN ETHNIC WEAR,Men,"['In Stock', 'In Stock', 'Out of Stock', 'Out of Stock', 'In Stock', 'In Stock']",Dresses & Gowns > Fusion Wear
"Buy Coral Shirts, Tops & Tunic for Women by HAWT Online | Ajio.com","Wash inside out
Waist gathers
Package contains: 1 tunic
Rayon
Relaxed Fit
Product Code: 420178164005
Other information","https://assets.ajio.com/medias/sys_master/root/20221208/RBb4/639201b0aeb269659cdea748/-78Wx98H-420178164-coral-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20221208/HPjB/6391fe4faeb269659cde94ee/-78Wx98H-420178164-coral-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20221208/SOfO/6391f99ef997ddfdbdc825f2/-78Wx98H-420178164-coral-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20221208/bqRd/6391fc6ff997ddfdbdc837ab/-78Wx98H-420178164-coral-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20221208/RBb4/639201b0aeb269659cdea728/-473Wx593H-420178164-coral-MODEL.jpg",MRP₹599,3.8  ,"['XS', 'S', 'M', 'L', 'XL']",HAWT,Men,"['Out of Stock', 'Out of Stock', 'Out of Stock', 'Out of Stock', 'Out of Stock']","Shirts, Tops & Tunic > Fusion Wear"
Buy Black Sports Shoes for Men by NIKE Online | Ajio.com,"Wipe with a clean, dry cloth when needed
Synthetic rubber sole
Lace Fastening
6-month warranty against manufacturing defects (not valid on more than 20% discounted products)
Mesh upper
Product Code: 469034006001
About NIKE
Other information","https://assets.ajio.com/medias/sys_master/root/20211224/7S0q/61c4c0c9aeb26901101a2579/-78Wx98H-469034006-black-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20211224/6oWK/61c4dd12f997ddf8f15f734d/-78Wx98H-469034006-black-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20211224/ihNb/61c4c765f997ddf8f15f09e3/-78Wx98H-469034006-black-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20211224/E95A/61c4ca43f997ddf8f15f181b/-78Wx98H-469034006-black-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20211224/7S0q/61c4c0c9aeb26901101a256b/-473Wx593H-469034006-black-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20211224/6oWK/61c4dd12f997ddf8f15f7363/-473Wx593H-469034006-black-MODEL2.jpg","₹3,067",3.7  ,"['6', '7', '8', '9', '10', '11', '12']",NIKE,Men,"['In Stock', 'In Stock', 'In Stock', 'Out of Stock', 'Out of Stock', 'Out of Stock', 'Out of Stock']",Sports Shoes > Footwear
Buy Black Tshirts for Men by SUPERDRY Online | Ajio.com,"Loose Fit
Package contains: 1 t-shirt
Embody the style of our Code range in this comfortable t-shirt and add it to your wardrobe today. Loose Fit: where comfort meets cool, a stylish loose cut makes this a must-have shape.
Ribbed crewneck collar, short sleeves, embroidered code logo on the right sleeve, embroidered Superdry logo on chest and signature Superdry patch.
Do not bleach; do not tumble dry; do not dry clean; iron low; machine wash cold at 30 degrees
Machine wash cold
100% Cotton
Product Code: 410312978014
About SUPERDRY
Other information","https://assets.ajio.com/medias/sys_master/root/20220318/f9ih/62338e2eaeb26921afe17d24/-78Wx98H-410312978-02a-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20220318/v49B/62338c44f997dd03e21c2f79/-78Wx98H-410312978-02a-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20220318/4neJ/623384e3aeb26921afe15a52/-78Wx98H-410312978-02a-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20220318/wlkH/6233954daeb26921afe19777/-78Wx98H-410312978-02a-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20220318/P7u7/62338119f997dd03e21bfd90/-78Wx98H-410312978-02a-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20220318/f9ih/62338e2eaeb26921afe17d24/-78Wx98H-410312978-02a-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20220318/v49B/62338c44f997dd03e21c2f79/-78Wx98H-410312978-02a-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20220318/4neJ/623384e3aeb26921afe15a52/-78Wx98H-410312978-02a-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20220318/wlkH/6233954daeb26921afe19777/-78Wx98H-410312978-02a-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20220318/P7u7/62338119f997dd03e21bfd90/-78Wx98H-410312978-02a-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20220318/f9ih/62338e2eaeb26921afe17d24/-78Wx98H-410312978-02a-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20220318/v49B/62338c44f997dd03e21c2f79/-78Wx98H-410312978-02a-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20220318/4neJ/623384e3aeb26921afe15a52/-78Wx98H-410312978-02a-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20220318/wlkH/6233954daeb26921afe19777/-78Wx98H-410312978-02a-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20220318/P7u7/62338119f997dd03e21bfd90/-78Wx98H-410312978-02a-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20220318/f9ih/62338e2eaeb26921afe17cff/-473Wx593H-410312978-02a-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20220318/v49B/62338c44f997dd03e21c2f7c/-473Wx593H-410312978-02a-MODEL2.jpg","MRP₹3,299",3.7  ,"['XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL']",SUPERDRY,Men,"['Out of Stock', 'Out of Stock', 'Out of Stock', 'Out of Stock', 'Out of Stock', 'Out of Stock', 'Out of Stock']",Tshirts > Western Wear
Buy Olive Trousers & Pants for Men by NETPLAY Online | Ajio.com,"Side pockets and back welt pockets
Belt loops
Slim Fit
Package contains: 1 chinos
Machine wash cold
Mid Rise
98% cotton, 2% elastane
Product Code: 441130178007
About NETPLAY
Other information","https://assets.ajio.com/medias/sys_master/root/20220429/J39u/626c1e53f997dd03e28b5f31/-78Wx98H-441130178-olive-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20220429/z5b4/626be864f997dd03e28a2ae9/-78Wx98H-441130178-olive-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20220429/Qk4W/626c1ecbaeb26921af4c774c/-78Wx98H-441130178-olive-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20220429/O5mm/626bf7e4aeb26921af4bb370/-78Wx98H-441130178-olive-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20220429/J39u/626c1e53f997dd03e28b5f20/-473Wx593H-441130178-olive-MODEL.jpg","MRP₹1,649",3.4  ,"['28', '30', '32', '34', '36', '38']",NETPLAY,Men,"['Out of Stock', 'Out of Stock', 'Out of Stock', 'Out of Stock', 'Out of Stock', 'Out of Stock']",Trousers & Pants > Western Wear
Buy Navy Kurta Suit Sets for Women by GULMOHAR JAIPUR Online | Ajio.com,"Rayon
Kurta & Bottomwear
Machine wash
Rayon
Product Code: 463669997003
Other information","https://assets.ajio.com/medias/sys_master/root/20240612/XsHT/666985d416fd2c6e6abc6e7f/-78Wx98H-463669997-navy-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/73ab/666985d416fd2c6e6abc6e81/-78Wx98H-463669997-navy-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/xwkx/666986d316fd2c6e6abc9691/-78Wx98H-463669997-navy-MODEL6.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/s9zY/666986d316fd2c6e6abc9692/-78Wx98H-463669997-navy-MODEL7.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/Fupi/666986d316fd2c6e6abc9693/-78Wx98H-463669997-navy-MODEL8.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/HMq9/666985d416fd2c6e6abc6f12/-78Wx98H-463669997-navy-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/7ftx/666985d416fd2c6e6abc6e7e/-78Wx98H-463669997-navy-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/uY4P/666985d416fd2c6e6abc6e80/-78Wx98H-463669997-navy-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/XsHT/666985d416fd2c6e6abc6e7f/-78Wx98H-463669997-navy-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/73ab/666985d416fd2c6e6abc6e81/-78Wx98H-463669997-navy-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/xwkx/666986d316fd2c6e6abc9691/-78Wx98H-463669997-navy-MODEL6.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/s9zY/666986d316fd2c6e6abc9692/-78Wx98H-463669997-navy-MODEL7.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/Fupi/666986d316fd2c6e6abc9693/-78Wx98H-463669997-navy-MODEL8.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/HMq9/666985d416fd2c6e6abc6f12/-78Wx98H-463669997-navy-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/7ftx/666985d416fd2c6e6abc6e7e/-78Wx98H-463669997-navy-MODEL2.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/uY4P/666985d416fd2c6e6abc6e80/-78Wx98H-463669997-navy-MODEL3.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/XsHT/666985d416fd2c6e6abc6e7f/-78Wx98H-463669997-navy-MODEL4.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/73ab/666985d416fd2c6e6abc6e81/-78Wx98H-463669997-navy-MODEL5.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/HMq9/666985d416fd2c6e6abc6f04/-473Wx593H-463669997-navy-MODEL.jpg, https://assets.ajio.com/medias/sys_master/root/20240612/7ftx/666985d416fd2c6e6abc6e92/-473Wx593H-463669997-navy-MODEL2.jpg",₹728,3.9  ,"['S', 'M', 'L', 'XL', 'XXL']",GULMOHAR JAIPUR,Men,"['Out of Stock', 'Out of Stock', 'Out of Stock', 'Out of Stock', 'In Stock']",Kurta Suit Sets > Ethnic Wear
